Fish,Live weight of landings (t),Value (£1000s),Price (£/tonne),Month
Bass,49,444,"9,122",11
Cod,763,"2,378","3,117",11
Haddock,"1,532","1,894","1,236",11
Hake,370,"1,278","3,450",11
Plaice,243,510,"2,100",11
Pollack (Lythe),73,221,"3,024",11
Bass,83,728,"8,744",10
Cod,"1,587","5,012","3,159",10
Haddock,"1,995","2,228","1,117",10
Hake,483,"1,291","2,671",10
Plaice,443,819,"1,846",10
Pollack (Lythe),90,266,"2,965",10
Bass,60,565,"9,339",9
Cod,726,"3,025","4,167",9
Haddock,"2,261","3,052","1,350",9
Hake,511,"1,429","2,796",9
Plaice,335,680,"2,030",9
Pollack (Lythe),74,285,"3,827",9
Bass,77,769,"9,940",8
Cod,744,"2,820","3,792",8
Haddock,"2,479","3,101","1,251",8
Hake,426,"1,235","2,897",8
Plaice,298,595,"1,993",8
Pollack (Lythe),77,268,"3,477",8
Bass,58,695,"11,959",7
Cod,"2,759","9,431","3,418",7
Haddock,"2,372","3,365","1,419",7
Hake,523,"1,263","2,417",7
Plaice,238,539,"2,260",7
Pollack (Lythe),54,213,"3,912",7
Bass,54,601,"11,215",6
Cod,537,"2,091","3,891",6
Haddock,"2,112","3,135","1,485",6
Hake,443,"1,315","2,968",6
Plaice,208,452,"2,169",6
Pollack (Lythe),59,224,"3,800",6
Bass,66,683,"10,367",5
Cod,559,"1,989","3,559",5
Haddock,"2,382","3,188","1,339",5
Hake,451,"1,145","2,540",5
Plaice,228,454,"1,991",5
Pollack (Lythe),98,299,"3,044",5
Bass,45,465,"10,319",4
Cod,523,"1,670","3,195",4
Haddock,"2,006","3,672","1,830",4
Hake,455,"1,097","2,413",4
Plaice,169,335,"1,980",4
Pollack (Lythe),90,228,"2,529",4
Bass,59,489,"8,293",3
Cod,459,"1,298","2,827",3
Haddock,"2,054","3,172","1,545",3
Hake,374,856,"2,287",3
Plaice,117,192,"1,640",3
Pollack (Lythe),87,202,"2,320",3
Bass,0,0,0,2
Cod,485,"1,422","2,931",2
Haddock,"1,967","2,841","1,444",2
Hake,545,"1,153","2,115",2
Plaice,134,169,"1,264",2
Pollack (Lythe),146,290,"1,983",2
Bass,0.5,5,"8,655",1
Cod,375,"1,305","3,480",1
Haddock,"1,507","2,203","1,462",1
Hake,423,"1,103","2,605",1
Plaice,101,134,"1,334",1
Pollack (Lythe),157,325,"2,074",1
Bass,33,237,"7,131",0
Cod,629,"1,924","3,061",0
Haddock,"1,843","2,426","1,316",0
Plaice,175,228,"1,300",0
Pollack (Lythe),129,291,"2,258",0
Hake,436,"1,244","2,851",0